iter	Passed	Remaining
406	6709	2373
407	6724	2356
408	6743	2341
409	6760	2324
410	6777	2308
411	6793	2292
412	6810	2275
413	6827	2259
414	6845	2243
415	6861	2226
416	6878	2210
417	6895	2194
418	6913	2178
419	6930	2161
420	6949	2145
421	6965	2129
422	6981	2112
423	6995	2095
424	7011	2078
425	7028	2062
426	7049	2047
427	7064	2030
428	7080	2013
429	7094	1996
430	7108	1979
431	7125	1962
432	7145	1947
433	7160	1930
434	7175	1913
435	7190	1896
436	7208	1880
437	7224	1863
438	7240	1847
439	7258	1831
440	7274	1814
441	7290	1797
442	7307	1781
443	7323	1764
444	7339	1748
445	7358	1732
446	7374	1715
447	7391	1699
448	7408	1683
449	7426	1666
450	7441	1649
451	7457	1633
452	7476	1617
453	7492	1600
454	7509	1584
455	7526	1567
456	7542	1551
457	7557	1534
458	7576	1518
459	7593	1502
460	7609	1485
461	7624	1468
462	7639	1451
463	7655	1435
464	7671	1418
465	7690	1402
466	7708	1386
467	7723	1369
468	7737	1352
469	7752	1336
470	7769	1319
471	7787	1303
472	7804	1286
473	7820	1270
474	7835	1253
475	7852	1237
476	7870	1220
477	7892	1205
478	7908	1188
479	7925	1172
480	7941	1155
481	7959	1139
482	7975	1122
483	7991	1106
484	8011	1090
485	8028	1073
486	8045	1057
487	8063	1041
488	8079	1024
489	8098	1008
490	8116	991
491	8131	975
492	8148	958
493	8166	942
494	8181	925
495	8204	909
496	8220	893
497	8236	876
498	8252	859
499	8268	843
500	8283	826
501	8298	810
502	8319	793
503	8336	777
504	8353	760
505	8371	744
506	8388	727
507	8405	711
508	8423	695
509	8441	678
510	8458	662
511	8475	645
512	8491	629
513	8509	612
514	8525	595
515	8540	579
516	8556	562
517	8572	546
518	8589	529
519	8605	513
520	8623	496
521	8639	479
522	8655	463
523	8671	446
524	8688	430
525	8704	413
526	8722	397
527	8738	380
528	8754	364
529	8770	347
530	8788	331
531	8804	314
532	8819	297
533	8839	281
534	8855	264
535	8871	248
536	8887	231
537	8904	215
538	8920	198
539	8937	182
540	8955	165
541	8970	148
542	8986	132
543	9002	115
544	9018	99
545	9035	82
546	9052	66
547	9068	49
548	9085	33
549	9101	16
550	9117	0
