iter	Logloss
132	0.2627399591
133	0.2618539228
134	0.2607670851
135	0.2599392118
136	0.2596619294
137	0.2591212735
138	0.2587821848
139	0.2581463407
140	0.2577216745
141	0.2570452042
142	0.256401783
143	0.2559072359
144	0.2547747937
145	0.2540800144
146	0.2537092754
147	0.2528462831
148	0.2521085399
149	0.2515535127
150	0.2506732277
151	0.2501268376
152	0.249145613
153	0.2486164606
154	0.2480869682
155	0.2479154569
156	0.2474420899
157	0.2466021188
158	0.2462169467
159	0.2457800954
160	0.2452517864
161	0.24491325
162	0.2443871806
163	0.2438648579
164	0.2435276562
165	0.2427878647
166	0.2423581827
167	0.2418262106
168	0.2409102069
169	0.2405229371
170	0.2395423106
171	0.2387228308
172	0.2383383659
173	0.2373501786
174	0.2371033509
175	0.2363600157
176	0.2360961027
177	0.2356960246
178	0.2353243177
179	0.2349254835
180	0.2342682964
181	0.2339984645
182	0.233231584
183	0.2325090307
184	0.2323245122
185	0.2318046416
186	0.2314285239
187	0.231209547
188	0.2309003199
189	0.2305206662
190	0.2299948209
191	0.2298400042
192	0.2295163271
193	0.2292871869
194	0.2285108323
195	0.2280253111
196	0.2275888779
197	0.2272132463
198	0.2268247216
199	0.2265876692
200	0.2261598103
201	0.2258526731
202	0.2256576906
203	0.2255641537
204	0.2253440327
205	0.2250744892
206	0.224668603
207	0.2243806248
208	0.2239112778
209	0.2235809726
210	0.2232783168
211	0.2229673901
212	0.2226782181
213	0.2221556258
214	0.2215536935
215	0.2212739974
216	0.2208637978
217	0.220677208
218	0.2202938425
219	0.2197057078
220	0.2193759187
221	0.219034572
222	0.2185421187
223	0.2183388047
224	0.2180341501
225	0.2171536873
226	0.2169564924
227	0.2166909175
228	0.2161428585
229	0.2156118143
230	0.2151309125
231	0.214751396
232	0.2144138067
233	0.2138914977
234	0.2133570722
235	0.2131234976
236	0.2129443316
237	0.212648201
238	0.2123340473
239	0.2119143608
240	0.2117012825
241	0.210808114
242	0.2102925949
243	0.2097871812
244	0.2095662106
245	0.2092996499
246	0.2086306636
247	0.2081655631
248	0.2078903428
249	0.2075293192
250	0.2069255467
251	0.2063566142
252	0.2060638399
253	0.2056334022
254	0.2053468135
255	0.2051548968
256	0.2045130448
257	0.2039757776
258	0.203628699
259	0.2030880851
260	0.2027500991
261	0.2022394358
262	0.2019897982
263	0.2017324563
264	0.2011612566
265	0.2004304977
266	0.1998796952
267	0.1997464202
268	0.1989785869
269	0.1984820909
270	0.1979040601
271	0.1975077852
272	0.1970486502
273	0.196890255
274	0.1966473657
275	0.1962508614
276	0.1958982036
277	0.1954556764
278	0.1950159532
279	0.1947200877
280	0.1939184575
281	0.1935549036
282	0.1933288265
283	0.1931706492
284	0.1928368846
285	0.1925408792
286	0.1919803445
287	0.1916307218
288	0.1915092437
289	0.1913757264
290	0.1909073512
291	0.1907064545
292	0.1905595768
293	0.1904014947
294	0.1899078845
295	0.1894647689
296	0.1890927889
297	0.1887605301
298	0.1886272098
299	0.1884562361
300	0.1879681786
301	0.1876788157
302	0.1872668226
303	0.1870525864
304	0.1868150201
305	0.1866963146
306	0.1865660773
307	0.1863843392
308	0.1856227628
309	0.1852217381
310	0.1849772562
311	0.1845109835
312	0.1843220948
313	0.1841177125
314	0.1837420837
315	0.1835670877
316	0.1833673815
317	0.1829881557
318	0.1825994609
319	0.1822183941
320	0.1819957372
321	0.1817153489
322	0.1813190023
323	0.1811681822
324	0.1810342604
325	0.1807535055
326	0.1805097696
327	0.1801448431
328	0.1796965005
329	0.1793933412
330	0.1788450648
331	0.1784119856
332	0.1780941846
333	0.1778701493
334	0.1775833409
335	0.1772329789
336	0.1769880149
337	0.1767971777
338	0.1765721261
339	0.176317437
340	0.1759865144
341	0.175609984
342	0.1753932799
343	0.1753105714
344	0.1750947798
345	0.1748859354
346	0.1746822721
347	0.1744767585
348	0.1741896434
349	0.1739986994
350	0.1735992055
351	0.1734284979
352	0.1732678621
353	0.1731184252
354	0.1728680043
355	0.1724144526
356	0.1722757351
357	0.1721446479
358	0.1718683488
359	0.1717452199
360	0.1714795162
361	0.1713009022
362	0.1710106022
363	0.1705977503
364	0.1704311445
365	0.1700653626
366	0.1697426662
367	0.1691791418
368	0.1688337286
369	0.1686403387
370	0.1685121645
371	0.1681771347
372	0.167673076
373	0.1672724765
374	0.1668713984
375	0.1666453223
376	0.1665176208
377	0.1663265387
378	0.1661656169
379	0.1658698001
380	0.1657006326
381	0.165563799
382	0.1652522804
383	0.1650140448
384	0.1648398679
385	0.1647471735
386	0.1645702016
387	0.164255886
388	0.1638916596
389	0.1633792734
390	0.1631619429
391	0.1628172224
392	0.162629123
393	0.1625539633
394	0.1624372689
395	0.1619995963
396	0.1618227447
397	0.1616279256
398	0.1612723069
399	0.1610448958
400	0.1609662706
401	0.1605158552
402	0.1602990681
403	0.1599417773
404	0.1598115919
405	0.1596113617
406	0.1594897306
407	0.1593375594
408	0.159250182
409	0.1590492023
410	0.1589665943
411	0.1586964146
412	0.1584041193
413	0.1581374623
414	0.1579342173
415	0.1575130684
416	0.1573546591
417	0.1572293953
418	0.1569417891
419	0.1566668229
420	0.1564333202
421	0.1559455873
422	0.1559069002
423	0.1558342485
424	0.1554816719
425	0.1550540372
426	0.1546434258
427	0.1545123898
428	0.1542982522
429	0.1539406701
430	0.1538122599
431	0.1534307373
432	0.1531938859
433	0.1530316681
434	0.152981147
435	0.1527706092
436	0.1524266389
437	0.1521567746
438	0.1516965051
439	0.1516060687
440	0.1515028024
441	0.1511491378
442	0.1510186304
443	0.1508718665
444	0.1507184223
445	0.1504613006
446	0.1500063555
447	0.1498893307
448	0.1494816762
449	0.1491605725
450	0.1491029654
451	0.1489397192
452	0.148711608
453	0.148406635
454	0.1483457783
455	0.1480592974
456	0.1477386379
457	0.1474907048
458	0.1471094843
459	0.1466419767
460	0.1462853948
461	0.1459856818
462	0.1456844207
463	0.1455028848
464	0.1453341279
465	0.1449277054
466	0.1445375668
467	0.1443036688
468	0.1440027564
469	0.1435724312
470	0.1434963002
471	0.1433416229
472	0.1431934935
473	0.1427645146
474	0.1424292215
475	0.1421925154
476	0.1418109855
477	0.1415057328
478	0.1412535433
479	0.1410045042
480	0.1408345909
481	0.1407125574
482	0.1403959062
483	0.140330345
484	0.1401163105
485	0.1399771752
486	0.1397223311
487	0.1393253979
488	0.1391567772
489	0.1388995347
490	0.1387478773
491	0.1385406074
492	0.1383616175
493	0.1380058198
494	0.1378932164
495	0.1376229394
496	0.1374021148
497	0.1372859704
498	0.1371614549
499	0.1370849674
500	0.1368881685
501	0.1365310178
502	0.1362655856
503	0.1361687718
504	0.1357931907
505	0.1353318113
506	0.1349755437
507	0.1346735444
508	0.1344320804
509	0.1341592264
510	0.1339665805
511	0.1337746258
512	0.1335833216
513	0.1333349507
514	0.1331711136
515	0.1330342051
516	0.13294015
517	0.1327390575
518	0.1326074954
519	0.1324721602
520	0.1324110593
521	0.1322426724
522	0.1320716646
523	0.1318732755
524	0.1317029264
525	0.13156379
526	0.1312869727
527	0.1312227326
528	0.1308430418
529	0.1306713283
530	0.1304951039
531	0.1304246407
532	0.1302605429
533	0.1299705574
534	0.1298269951
535	0.1297435818
536	0.1295741706
537	0.1294677
538	0.1293798525
539	0.1291084781
540	0.1288929161
541	0.1287125525
542	0.1286062719
543	0.1284452125
544	0.1283590987
545	0.1282716407
546	0.1280559045
547	0.1279687362
548	0.1277562592
549	0.1277065128
550	0.1274966355
